School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
ACADEMY OF EXCELLENCE         ,30,6,PO Box 427                    ,Eureka Springs      ,Ar,72632,Mrs ,Patty               ,               ,Sanders                  ,EUREKA SPRINGS SCHOOL DISTRICT,802000,39,P ,8,N,N,N,
AGAPE ACADEMY - LITTLE ROCK   ,30,6,701 NAPA VALLEY DR.           ,LITTLE ROCK         ,AR,72211,MR. ,DAVID               ,               ,SCOTT                    ,LITTLE ROCK SCHOOL DISTRICT,6001000,39,P ,6,N,N,N,
AMBASSADOR BAPTIST ACADEMY    ,30,6,1585 Tanner Road              ,Malvern             ,AR,72104,    ,John                ,               ,Horton                   ,MALVERN SCHOOL DISTRICT,3004000,0,K ,12,N,N,N,
AMBASSADOR BAPTIST ACADEMY    ,30,6,7 Lost Branch Ln              ,Greenbrier          ,AR,72058,Ms. ,Kim                 ,               ,Bonds                    ,GREENBRIER SCHOOL DISTRICT,2303000,52,K ,12,N,N,N,
ANH MONTESSORI SCHOOL         ,30,6,2730 N Woods Ln               ,Rogers              ,AR,72756,    ,Amanda              ,               ,Rumancik                 ,BENTONVILLE SCHOOL DISTRICT,401000,110,P ,6,N,Y,N,
ARKANSAS BAPTIST SCHOOL SYSTEM,30,6,62 PLEASANT VALLEY DRIVE      ,LITTLE ROCK         ,AR,72212,DR. ,REX                 ,               ,HORNE                    ,LITTLE ROCK SCHOOL DISTRICT,6001000,512,P ,12,N,N,N,
AVILLA CHRISTIAN ACADEMY - ALE,30,6,302 Avilla East               ,Alexander           ,AR,72002,Mr. ,Rich                ,               ,Meyers                   ,BRYANT SCHOOL DISTRICT,6303000,136,P ,12,Y,N,N,
BENTONVILLE 7TH DAY ADVENTIST ,30,6,2522 SE 14th St               ,Bentonville         ,AR,72712,    ,Elizabeth           ,               ,Fresse                   ,BENTONVILLE SCHOOL DISTRICT,401000,54,P ,8,N,N,N,
BENTONVILLE CHRISTIAN ACADEMY ,30,6,904 N Walton Blvd             ,Bentonville         ,AR,72712,    ,Amber               ,               ,Moore                    ,BENTONVILLE SCHOOL DISTRICT,401000,140,P ,4,N,N,N,
BETHEL CHRISTIAN SCHOOL       ,30,6,230 Polk Road 74              ,Mena                ,AR,71953,    ,Donna               ,               ,Sloan                    ,MENA SCHOOL DISTRICT,5703000,28,K ,12,N,N,N,
