School Name,EC,PK,K,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,Total
Central Union Church Preschool & Kindergarten,26,130,,,,,,,,,,,,,,156
Damien Memorial School,,,,,,,,,29,61,89,119,119,108,138,663
Hanahau'oli School,,27,27,27,27,26,28,27,23,,,,,,,212
Hawaii Baptist Academy,,,38,36,42,58,38,54,83,95,119,94,121,127,125,1030
Hawaiian Mission Academy - 9-12 Campus,,,,,,,,,,,,22,17,16,22,77
Hawaiian Mission Academy Ka Lama Iki,,,13,3,3,11,4,7,6,7,15,,,,,69
Holy Nativity School,12,16,13,12,16,16,14,16,2,2,7,,,,,126
Hongwanji Mission School,,75,53,48,36,32,29,31,20,20,19,,,,,363
Honolulu Waldorf School,,17,47,10,16,9,13,10,8,10,4,,,,,144
'Iolani School,,,97,96,96,70,71,67,143,208,195,260,275,278,260,2116
Kaimuki Christian School,18,46,27,10,18,30,18,20,18,17,16,12,6,13,10,279
Kamehameha Schools Kapalama,,,80,80,80,80,144,144,144,320,320,450,450,450,450,3192
Kawaiaha'o Church School,17,71,11,3,1,4,3,0,0,,,,,,,110
La Pietra - Hawaii School for Girls,,,,,,,,,12,18,20,19,16,24,24,133
"Mary, Star of the Sea Early Learning Center",28,66,25,,,,,,,,,,,,,119
"Mary, Star of the Sea School",,,24,30,29,15,23,33,25,17,9,,,,,205
Maryknoll School,,,54,53,64,41,38,60,71,74,74,117,113,119,134,1012
Mid-Pacific Institute,,28,31,33,42,40,44,42,104,125,140,195,192,203,211,1430
Montessori Community School,16,56,16,18,14,14,11,14,5,,,,,,,164
Pacific Buddhist Academy,,,,,,,,,,,,16,14,28,17,75
Punahou School,,,155,155,151,151,201,202,290,357,360,450,435,442,421,3770
Sacred Hearts Academy,,28,15,20,20,36,28,42,47,45,59,72,80,90,81,663
Saint Louis School,,,21,17,18,23,33,40,52,80,114,124,111,130,119,882
Saint Patrick School,,67,32,35,29,35,19,27,21,24,23,,,,,312
Saint Theresa School,,16,28,21,23,21,31,30,25,27,27,,,,,249
Soto Academy,,,9,9,7,6,11,9,0,,,,,,,51
St. Andrew's Schools,,94,33,25,24,21,30,24,23,18,16,14,15,19,27,383
St. Clement's School,,72,20,,,,,,,,,,,,,92
Waolani Judd Nazarene School,,82,37,18,14,21,18,13,16,5,5,,,,,229
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Calvary Chapel Christian School,,,12,10,9,13,15,8,5,16,7,15,6,17,0,133
Christian Academy,,41,14,19,16,13,17,15,26,18,13,7,9,6,8,222
Hanalani Schools,,39,39,47,42,32,36,40,34,53,45,60,46,54,39,606
Ho'ala School,,,13,6,6,4,2,3,3,0,1,,,,,38
Holy Family Catholic Academy,,34,41,46,21,44,34,32,22,18,22,,,,,314
Navy Hale Keiki School,,55,48,41,24,19,16,10,,,,,,,,213
Our Savior Lutheran School,,15,14,7,8,11,6,10,11,6,5,,,,,93
St. Elizabeth School,,17,20,18,15,15,12,13,15,8,8,,,,,141
St. Michael School,,14,13,14,8,6,12,6,8,2,8,3,2,1,1,98
St. Philomena Early Learning Center,35,66,18,,,,,,,,,,,,,119
Trinity Lutheran School,,38,17,17,11,11,6,15,9,15,14,,,,,153
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Adventist Malama Elementary School,,,8,4,2,8,4,4,6,8,10,,,,,54
American Renaissance,,,18,8,10,4,4,8,6,13,8,3,4,3,5,94
Friendship Christian Schools,,50,33,22,35,24,18,18,11,12,8,14,10,6,3,264
Island Pacific Academy,,,46,48,44,35,37,35,44,46,49,40,38,45,37,544
Lanakila Baptist Schools,,5,14,10,11,5,7,5,10,10,14,9,8,6,9,123
Maili Bible School,,2,9,8,3,13,8,4,5,4,8,3,2,0,0,69
New Hope Christian School,8,62,11,9,12,14,9,8,8,5,4,,,,,150
Our Lady of Good Counsel School,,23,23,17,13,15,10,23,14,16,14,,,,,168
Pearl Harbor Christian Academy,,25,15,16,18,20,20,16,13,21,22,,,,,186
St. Joseph Parish School,,17,37,35,33,38,31,35,17,21,29,,,,,293
The Children's House,,88,59,23,17,12,11,,,,,,,,,210
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
"Asia Pacific International School, Hawaii Campus",,,8,8,8,8,8,10,10,15,15,15,15,15,15,150
Hawaiian Mission Academy - Windward Campus,,,3,13,10,6,10,5,4,4,10,,,,,65
Huakailani School for Girls,,,6,6,4,4,3,4,3,2,3,,,,,35
Ko'olau Baptist Academy,,,18,16,16,9,11,14,7,10,15,12,11,10,5,154
Le Jardin Academy,,69,48,47,53,50,45,53,54,66,58,51,60,62,60,776
Saint Mark Lutheran School,,38,21,21,21,21,20,18,17,21,20,,,,,218
St Anthony School Kailua,,51,38,29,31,19,22,25,19,25,19,,,,,278
St. Ann School,,36,17,6,9,10,10,6,8,6,17,,,,,125
St. John Vianney School,,34,19,16,17,17,17,17,15,15,9,,,,,176
Trinity Christian School,,52,16,30,28,20,16,27,19,16,15,4,4,13,9,269
Windward Nazarene Academy,,52,18,13,12,11,13,11,6,5,6,,,,,147
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Christian Liberty Academy,,23,14,16,16,18,18,16,11,16,11,13,8,11,7,198
Haili Christian School,,30,12,22,12,14,14,9,9,12,12,5,2,,,153
Hawai'i Montessori Schools,15,39,,,,,,,,,,,,,,54
Hawaii Preparatory Academy,,,9,18,20,18,22,22,29,33,30,81,91,106,93,572
Kamehameha Schools Hawai'i,,,40,40,40,40,48,48,116,116,116,144,144,144,144,1180
Kohala Adventist School,,,6,3,2,0,1,1,2,3,2,,,,,20
Kona Adventist Christian School,,,5,2,2,3,2,3,0,1,3,,,,,21
Kuleana Education Academy,,,8,8,8,8,8,8,8,8,0,,,,,64
Makua Lani Christian Academy,,16,34,21,30,20,19,18,19,17,30,17,28,17,20,306
Malamalama Waldorf School,,31,6,6,7,4,9,5,5,8,7,,,,,88
Mauna Loa School,,,10,9,7,4,9,5,2,6,5,,,,,57
Parker School,,,13,17,18,17,19,19,30,30,27,26,29,30,30,305
St. Joseph School,,24,17,14,19,18,16,14,13,20,10,11,16,10,21,223
Waimea Country School,,,8,6,8,8,7,9,0,,,,,,,46
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Carden Academy of Maui,,12,16,18,17,17,16,15,18,12,15,,,,,156
Doris Todd Christian Academy,,28,17,19,14,18,15,16,16,16,11,4,7,3,0,184
Haleakala Waldorf School,0,21,24,14,11,14,17,17,15,18,25,13,17,12,8,226
Hawaiian Mission Academy Maui,,,3,5,1,1,1,2,2,3,2,,,,,20
Ka'ahumanu Hou Christian School,,60,8,5,8,10,10,9,4,0,3,3,2,0,1,123
Kamehameha Schools Maui,,,40,40,40,48,48,48,110,110,110,140,132,120,120,1106
Maui Preparatory Academy,,32,16,19,20,16,19,17,15,15,16,20,22,15,20,262
Montessori School of Maui,12,45,35,15,21,20,17,14,8,6,10,,,,,203
ROOTS School of Maui,,10,10,8,7,3,8,4,,,,,,,,50
Sacred Hearts School,14,20,20,20,19,19,21,16,14,22,13,2,0,0,0,200
Seabury Hall,,,,,,,,,48,50,55,85,69,81,68,456
St. Anthony,,,x,x,x,x,x,x,x,x,x,x,x,x,x,290
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Island School,,35,20,23,20,22,25,21,20,44,37,47,33,41,35,423
Kahili Adventist School,,,1,6,1,3,4,2,1,3,2,,,,,23
Kauai Christian Academy,,37,16,15,12,14,11,9,4,7,10,9,5,3,4,156
St. Catherine School,,43,18,19,14,13,14,10,11,14,14,,,,,170
St. Theresa School,,21,26,11,10,15,14,10,10,15,8,,,,,140
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Aka'ula School,,,,,,,,3,3,10,8,3,2,1,4,34
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
"Horizons Academy of Maui, Inc.",,,,1,,,,,,2,,,1,1,,6
Assets School,,,2,4,12,19,14,22,30,37,31,33,30,41,34,309
Variety School of Hawaii,,,2,3,4,4,1,3,4,4,2,4,2,2,6,41
