School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
SUBIACO ACADEMY - SUBIACO     ,32,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mrs.,Cheryl              ,               ,Goetz                    ,SCRANTON SCHOOL DISTRICT,4204000,0,7,12,N,N,N,
THADEN SCHOOL                 ,32,6,410 E Staggerwing Ln          ,Bentonville         ,AR,72712,    ,Clayton             ,               ,Marsh                    ,BENTONVILLE SCHOOL DISTRICT,401000,275,6,12,N,N,N,
THE DELTA SCHOOL              ,32,6,5101 Hwy 61                   ,Wilson              ,AR,72395,    ,Adrew               ,               ,Podoll                   ,RIVERCREST SCHOOL DISTRICT,4706000,81,P ,12,N,N,N,
THE HILL SCHOOL               ,32,6,88 West Joyce                 ,Fayetteville        ,AR,72703,    ,Natalie             ,               ,Mazzanti                 ,FAYETTEVILLE SCHOOL DISTRICT,7203000,40,K ,1,Y,Y,Y,
THE HUDA ACADEMY - LR         ,32,6,3221 ANNA ST.                 ,LITTLE ROCK         ,AR,72204,MR. ,ZIAD                ,               ,ABDULLA                  ,LITTLE ROCK SCHOOL DISTRICT,6001000,134,K ,8,Y,Y,Y,
TRINITY CHRISTIAN ACADEMY-GREE,32,6,601 S Thorne Ave              ,Green Forest        ,AR,72638,Mr  ,Bill                ,               ,Wyatt                    ,GREEN FOREST SCHOOL DISTRICT,803000,12,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,32,6,PO Box 190                    ,Bradford            ,AR,72020,    ,Bill                ,               ,Franks                   ,BALD KNOB SCHOOL DISTRICT,7301000,0,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,32,6,PO Box 190                    ,Bradford            ,AR,72020,Mr. ,Don                 ,               ,Robinson                 ,BRADFORD SCHOOL DISTRICT,7303000,7,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-TEXAR,32,6,3107 Trinity Blvd.            ,Texarkana           ,AR,71854,    ,Marcus              ,               ,Bellamy                  ,TEXARKANA SCHOOL DISTRICT,4605000,210,P ,12,N,N,N,
TRINITY HOLINESS              ,32,6,1914 hwy 70W                  ,Glenwood            ,AR,71943,Mr. ,Sammy               ,               ,Cottrell                 ,KIRBY SCHOOL DISTRICT,5503000,3,K ,12,N,N,N,
TRINITY JUNIOR HIGH SCHOOL - F,32,6,1205 SO ALBERT PIKE           ,FORT SMITH          ,AR,72903,DR  ,KAREN               ,               ,HOLLENBECK               ,FORT SMITH SCHOOL DISTRICT,6601000,210,7,9,Y,Y,Y,
UNION CHRISTIAN ACADEMY - FORT,32,6,4201 WINDSOR DRIVE            ,FORT SMITH          ,AR,72908,    ,RICKY               ,               ,MASSENGALE               ,FORT SMITH SCHOOL DISTRICT,6601000,201,P ,12,N,Y,N,
VALLEY CHRISTIAN ACADEMY      ,32,6,P O Box 1786                  ,Russellville        ,AR,72811,Mrs.,Rebecca             ,               ,Partain                  ,POTTSVILLE SCHOOL DISTRICT,5804000,0,K ,9,N,N,N,
VALLEY CHRISTIAN ACADEMY      ,32,6,201 East G Street             ,Russellville        ,AR,72801,Ms  ,Rebecca             ,               ,Partain                  ,DARDANELLE SCHOOL DISTRICT,7504000,113,K ,12,N,N,N,
VICTORY CHRISTIAN SCHOOL      ,32,6,1244 Maul Road                ,Camden              ,AR,71701,Mr  ,Merle               ,               ,Dorey                    ,CAMDEN FAIRVIEW SCHOOL DISTRICT,5204000,80,K ,12,N,N,N,
WALNUT FARM MONTESSORI SCHOOL ,32,6,4208 E Central Ave            ,Bentonville         ,AR,72712,    ,Heather             ,               ,Gray                     ,BENTONVILLE SCHOOL DISTRICT,401000,125,P ,3,N,N,N,
WEST MEMPHIS CHRISTIAN - WEST ,32,6,1101 North Missouri           ,West Memphis        ,Ar,72301,    ,Darrow              ,               ,Anderson                 ,MARION SCHOOL DISTRICT,1804000,164,K ,12,Y,Y,N,
WEST MEMPHIS CHRISTIAN - WEST ,32,6,1101 N. Missouri Street       ,West Memphis        ,AR,72301,Mr. ,Mark                ,               ,Laster                   ,WEST MEMPHIS SCHOOL DISTRICT,1803000,175,K ,12,Y,N,N,
WEST SIDE CHRISTIAN SCHOOL - E,32,6,2400 W. Hillsboro             ,El Dorado           ,AR,71730,    ,Robin               ,               ,Colley                   ,SMACKOVER-NORPHLET SCHOOL DISTRICT,7008000,0,K ,12,N,N,N,
WEST SIDE CHRISTIAN SCHOOL - E,32,6,2400 W. Hillsboro             ,El Dorado           ,Ar,71730,Mrs.,Robin               ,               ,Colley                   ,EL DORADO SCHOOL DISTRICT,7001000,160,K ,12,N,N,N,
WINTHROP BAPTIST ACADEMY      ,32,6,820 Broad St                  ,Winthrop            ,AR,71866,Mrs ,Rosie               ,               ,Jones                    ,HORATIO SCHOOL DISTRICT,6703000,1,K ,12,N,N,N,
WORD OF FAITH CHRISTIAN       ,32,6,12826 hWY. 8 W.               ,AMITY               ,AR,71921,    ,MARY                ,               ,FORSYTHE                 ,CENTERPOINT SCHOOL DISTRICT,5502000,2,K ,12,N,N,N,
