School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
COMMUNITY CHRISTIAN SCHOOL - R,32,6,P. O. Box 1786                ,Russellville        ,Ar,72801,PAR ,Rebecca             ,               ,Partain                  ,RUSSELLVILLE SCHOOL DISTRICT,5805000,110,K ,12,N,N,N,
CONWAY CHRISTIAN SCHOOL - CONW,32,6,500 E German Ln               ,Conway              ,AR,72032,    ,Joshua              ,               ,Harrison                 ,CONWAY SCHOOL DISTRICT,2301000,463,P ,12,N,N,N,
CORNERSTONE CHRISTIAN ACADEMY ,32,6,1215 Whitney Lane             ,Kensett             ,AR,72082,    ,Candy               ,               ,Crooker                  ,BALD KNOB SCHOOL DISTRICT,7301000,4,P ,12,N,N,N,
CORNERSTONE CHRISTIAN ACADEMY ,32,6,1215 Whitney Lane             ,Kensett             ,AR,72082,    ,Candy               ,               ,Crooker                  ,RIVERVIEW SCHOOL DISTRICT,7307000,44,K ,12,N,N,N,
CORNERSTONE CHRISTIAN ACADEMY ,32,6,909 Hwy 65                    ,Tillar              ,AR,71670,    ,Monica              ,               ,Daniels                  ,LAKESIDE SCHOOL DIST(CHICOT),903000,114,K ,12,Y,Y,N,
CORNERSTONE CHRISTIAN ACADEMY ,32,6,P.O. Box 129                  ,Tillar              ,AR,71670,Mrs.,Monica              ,               ,Daniels                  ,DREW CENTRAL SCHOOL DISTRICT,2202000,6,K ,12,Y,Y,Y,
CORNERSTONE CHRISTIAN ACADEMY ,32,6,PO Box 129                    ,Tillar              ,AR,71670,Mrs.,Monica              ,               ,Daniels                  ,MCGEHEE SCHOOL DISTRICT,2105000,149,P ,12,Y,Y,N,
CROSSPOINT PREPARATORY SCHOOL ,32,6,3000 E Park AV                ,Searcy              ,AR,72143,    ,Jimmy               ,               ,Brooks                   ,BALD KNOB SCHOOL DISTRICT,7301000,0,P ,12,N,N,N,
CROSSPOINT PREPARATORY SCHOOL ,32,6,P.O. Box 1112                 ,Searcy              ,AR,72145,Mrs.,Tamara              ,J.             ,Dawson                   ,SEARCY SCHOOL DISTRICT,7311000,107,P ,12,N,N,N,
CROWLEY'S RIDGE ACADEMY - PARA,32,6,606 Academy Drive             ,Paragould           ,AR,72450,Mr  ,Terry               ,               ,Austin                   ,GREENE COUNTY TECH SCHOOL DISTRICT,2807000,256,K ,12,N,N,N,
