School Name,EC,PK,K,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,Total,,,,,,,,,,,,,,
Pearl Harbor Christian Academy,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,N/A
Saint Joseph Parish School,,18,47,32,36,34,35,30,34,15,20,,,,,301,,,,,,,,,,,,,,301
The Children's House,,112,56,30,15,12,,,,,,,,,,225,,,,,,,,,,,,,,225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
"Asia Pacific International School, Hawaii Campus",,,18,7,13,8,8,8,10,17,15,12,13,10,7,146,,,,,,,,,,,,,,
Hawaiian Mission Academy - Windward Campus,,,4,2,10,10,6,5,6,5,4,,,,,52,,,,,,,,,,,,,,
Huakailani School for Girls,,,1,5,2,3,3,0,4,2,1,,,,,21,,,,,,,,,,,,,,
Ko'olau Baptist Academy,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Le Jardin Academy,,78,54,54,45,60,46,50,58,57,68,66,52,60,66,814,,,,,,,,,,,,,,
Saint Ann School,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Saint Anthony School Kailua,,73,36,48,33,39,32,29,26,20,29,,,,,365,,,,,,,,,,,,,,
Saint John Vianney School,,43,25,18,19,22,22,17,17,18,16,,,,,217,,,,,,,,,,,,,,
Saint Mark Lutheran School,,50,26,23,22,22,20,21,19,14,20,,,,,237,,,,,,,,,,,,,,
Trinity Christian School,,52,31,12,28,23,20,18,22,16,18,12,6,5,14,277,,,,,,,,,,,,,,
Windward Nazarene Academy,,60,17,19,13,14,7,11,12,4,4,,,,,161,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
Christian Liberty Academy,,23,19,16,19,19,19,19,16,16,17,12,13,9,11,228,,,,,,,,,,,,,,
Haili Christian School,,30,14,13,19,12,12,16,12,12,10,2,1,2,,155,,,,,,,,,,,,,,
Hawai'i Montessori Schools,15,39,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
Hawaii Preparatory Academy,,,17,19,12,20,22,21,33,35,41,76,91,108,99,594,,,,,,,,,,,,,,
Kamehameha Schools Hawai'i,,,40,40,40,40,48,48,116,116,116,144,144,144,144,1180,,,,,,,,,,,,,,
Kohala Adventist School,,,0,3,3,3,1,2,1,2,4,,,,,19,,,,,,,,,,,,,,
Kona Adventist Christian School,,,5,4,3,4,3,3,5,0,4,,,,,31,,,,,,,,,,,,,,
Kuleana Education Academy,,,16,12,13,8,12,1,10,2,5,,,,,79,,,,,,,,,,,,,,
Makua Lani Christian Academy,,16,34,38,30,35,23,24,20,23,24,34,24,23,16,364,,,,,,,,,,,,,,
Malamalama Waldorf School,,38,6,9,11,8,8,8,4,2,,,,,,94,,,,,,,,,,,,,,
Mauna Loa School,,,10,9,8,7,2,10,3,4,7,,,,,60,,,,,,,,,,,,,,
Parker School,,,16,15,17,18,19,19,29,38,37,33,29,30,34,334,,,,,,,,,,,,,,
Saint Joseph School,,28,17,15,14,18,18,15,14,10,19,11,12,12,8,211,,,,,,,,,,,,,,
Waimea Country School,,,8,8,8,7,8,7,0,,,,,,,46,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
